mayu tanya apa aplikasi ini sudah bisa tuker pulsa	neutral
kirim duit dan isi pulsa lebih mudah dan cepat mantap	positive
halo admin ini saya lupa password tapi kode otp lewat email enggak ada masuk tapi pas lupa username langsung masuk tolong bantuannya karena saya mau melakukan transaksi	negative
top	neutral
mantap banget	positive
apakah jiki saya kirim uang lewat blu tapi enggak punya no hp yang saya mengirimi apa bisa ya mohon infonya untuk saat ini saya kasih bintang soalnya belum tau	negative
terima kasih blu karena blu segala transaksi jadi mudah transaksi bisa dilakukan kapan saja dan di mana saja	positive
enggak ada redeem pulsa	negative
akun blu saya telah terbobol oleh cs pinjol gadungan kurang ajar saya ingin ganti pin blu kenapa kode verifikasi nya tidak muncul saya kecewa karena saldo saya telah habis terkuras	negative
aplikasi pelit kok makin mahal saja sih min pulsanya tolol	positive
aplikasinyaa sangat membantu memudahkan aktivitas sehari hari trimakasihh	positive
verifikasinya lelet banget cok cok	negative
alhamdulillah aplikasi benar protektif mudah an selalu update keamanannya	positive
aplikasinya bagus	positive
ini bagaimana sih mau buat akun untuk foto ktp jadinya malah ngezoom	negative
lumayan setelah minggu mencoba berkali kali akhirnya bisa juga buka aplikasi ini	positive
aplikasinya sangat bagus dan sangat bermanfaat	positive
mantap banget apknyablu recommended blu indonesia	positive
keren banget	positive
malas pakai blu karena saldo kepotong terus sms masuk dari blu pun biayanya rp dan biaya bulanan kepotong rp blu saat transaksi tidak ada administrasinya tapi riwayat uang kepotong administrasi blu	negative
tolong dari pihak blu untuk mempermudah pendaftaran di karnakan aku mengalami kali kegagalan saat mendaftar blu vahkan sampai saat ini belum bisa untuk mendaftar blu	negative
aplikasi tidak bermutu slogan tidak sama dengan fakta cara mempermudah buat transaksi tetapi malah di buat pusing begini sudah di hapus data di aplikasi tetap saja tidak bisa masukmasuk entah apa kendala masa ya kalah sama mbanking bank lain yang mudah dan tidak seribet ini	negative
parah sudah ke counter cs di bank juga sama saja kali isi aplikasi pakai buah tab nya cs juga enggak berhasil aneh ini aplikasi dibilang hp tidak support pakai tab nya cs saja enggak berhasil dirumah coba lagi pakai hp yang berbeda sama saja gagal di rekam video giliran bethasil eh akhirnya e kyc dibilang gagal malah bolak balik suruh install ulang parah banget	negative
adanya aplikasi tetap saja tidak mempermudah tetap harus ke cs bank dengan antrian seharian masa proses verifikasi pendaftaran stuck di setelah itu dinyatakan gagal sudah hari daftar blu enggak pernah berhasil kemana komitmen bumn nya untuk mepermudah masyarakat	negative
selalu pakai aplikasi ini kalo mau mengirim antar bank mudah cepat dan simple	positive
semenjak reedem voucher pulsa ditiadakan saya pribadi merasa kecewa karena mayoritas pengguna blu termasuk saya mencari poin hanya untuk reedem pulsa menurut saya juga menghapus fitur voucher pulsa adalah langkah yang salah blu bisa sebesar ini salah satu faktor karena adanya fitur ini saran untuk admin daripada menghapus reedem pulsa lebih baik kalau menaikkan harga poin untuk reedem voucher pulsanya agar konsumen makin rajin mencari poin dengan chat	negative
kekuatan sinyal bagus baik di data dan wifi namun kenapa di saat akan membuka aplikasi blu selalu koneksi anda tdak stabil tolong dari pihak yang terkait di perbaiki lagi jangan makin di persulit	negative
ok sangat membantu sekali dalam bertransaksi	positive
enggak lama juga pasti hilang semua para user nya	negative
hilang ribu mabok appnya dalam proses lama banget sudah ngechat disuruh nunggu max hari pas hari ketiga malah tiba tiba sukses padahal uang tidak masuk di penerima	negative
tolong perbaiki masalah dimana blu selalu bilang tidak terkoneksi dengan internet padahal jelas jelas saya pakai wifi enggak pula ganti koneksi ke data seluler juga sama saja mohon segera diperbaiki dalam keadaan darurat dibutuhkan blunya seperti ini jadi kurang menyenangkan terimakasih	neutral
mau verifikasi foto saja susah banget kualitas foto buram	negative
tolong pulsa xl telkom tree indosat di tambah jadi pulsa dan harga tukarnya di kurangi blu	positive
aplikasi nyusahin sampah mau daftar dikira sukses tapi proses e kyc selalu dinyatakan gagal tapi enggak rinci salahnya dimana harus ulang dari awal bahkan sampai harus install ulang aplikasi untuk proses ulang registrasi masukin data dari awal lagi foto lagi rekaman lagi tandatgn lagi sudah enggak terhitung ngulang proses ini jempol tinggi untuk bca mandiri jenius dan jago yang hanya sekali registrasi langsung berhasil	negative
hati hati penipuan lur kalau dihubungi oleh pihak blu indonesia tadi saya hampir tertipu katanya pemenang undian nomer sebesar juta ternyata cuma penipuan belaka pokoknya hati hati saja dasar aplikasi penipu	negative
kecewa lah baru pertama kali buat akun blu gagal terus pas buat videonya sudah puluhan kali gagal terus padahal sudah sesuai	negative
bagus	positive
menarik dan sangat membantu	positive
sangat membantu	positive
aplikasi bangkai saya sudah melakukan pembayaran di awal tapi enggak bisa buat aku blu saya konfirmasi ke email blu malah di suruh ke kantor saya mau buat rekening di aplikasi blu karena kantor cabang jauh dari tempat saya malah di suruh ke kantor uang setoran awal enggak bisa kembali aplikasi error enggak ada guna buka rekening di sini	negative
bagus	positive
the best	positive
aku terkena tipu melalui app ini tapi untung tuhanku dengan aplikasi ini membantuku sampai akhirnya milikku menjadi milikku lagi jangan berhenti untuk selalu meminta pertolongan tak ada yang tau apa terjadi esok terima kasih untuk blu indonesia yang membantu saya sampai saat ini sukses selalu blu	positive
aplikasi mantap saya suka	positive
saya top up gopay mulai tanggal sampai sekarang belum juga masuk dan belum juga di refund jadi takut untuk transaksi via blu dulunya sih bangga dan senang tapi melihat respons dan penanganan masalah nya terlalu lama enggak selesai jadi ragu untuk transakai lagi pakai blu saran saja semoga kalau ada transaksi nyantol paling lama kali jam audah clear transaksi nomer qaullx	negative
kecewa	negative
agak lelet ya	positive
keren banget link ke atmnya gampang juga topup enggak ribet mantap blu blu blu	positive
saya sudah isntall lalu saya sudah melakukan verifikasi sesuai dengan data kependudukan dst tapi masih gagal dan selalu dibilang data tidak sesuai padahal sudah ulang sampai puluhan kali enggak bisa juga aneh memang mau diisi data apaan	negative
bagus sekali	positive
mamam sekarang point turun drastis jadi malas main blu mana point dibatasi sudah auto uninstall saja gue mah teman gue juga sudah pada dicopot thanks blu blu	negative
kecewq karena tidak gratis biaya admin lagi blu blu	negative
good	positive
aku coba dulu ya biar tambah kece habis hehehe	positive
tolong verifikasinya dipercepat	negative
cukup memudahkan namun alangkah lebih baiknya lagi nor pemulihan akun ditambah	positive
dengan adanya apliksi blu ini sangat membantu saya dalam proses transaksi di manapun saya berada dan membuatnya kita kurang pergi antri di bank ini benar sangat membantu saya dalam transaksi dan juga bisa menariknya tanpa pakai kartu atm lagi bagi teman yang belum punya apliksi blu saya sarankan segera donwlod di play store tanpa biaya semua pendaftaran gratis tanpa pungut biaya apapun ok semangat sega pemilik aplikasi kasih ini sukses selalu dan berguna bagi semua masyarakat	positive
bagaimana caranya untuk keluar dari akun ini dan kalau bisa hapus data saya terimakasih	negative
mantab bintang full pokok e	positive
sering gangguan kalo mau masuk pasti internet kurang bagus padahal paketan masih banyak sinyal stabil di ganti dengan wi fi pun sama sering let dihp saya	neutral
pas top up bluzzi saldo rekening ke potong tapi yang masuk ke saldo bluzzi enggak sebaik kompetitornya	negative
keren	positive
sangat membantu sekali	positive
aplikasi blu sangat mudah untuk bertransaksi luarbiasa	positive
kapan bisa aktif lagi virtual account bni nya di fitur meminta uang	positive
mudah digunakan dan tidak lambat	positive
pendaftaran selalu gagal padahal sudah isi kode otp dengan benar tolong segera di perbaiki	negative
saya sudah bayar setoran awal tapi kenapa enggak masuk ya blunya tetap enggak bisa di buka	negative
keren	positive
mantap	positive
